Id,ReleaseID,Type of Test Case,TestCaseTitle,TestCaseDescription,Error Prone Test Cases,Automation Status,Any Defect ,JIRA Bug ID,Bug Description,GIT Commit Message,Target
1,R20.2.1, Sanity,Get the short and detailed health status APIs,"    When I call short health status API
    Then Response status code should be 200
    And JSON response should have HEALTHY
    When I call detailed health status API
    Then Response status code should be 200
    And JSON Response should have detailed health status",No,Yes,Yes,WPPX1-949,AMI Refresh for RAW services,Fix for WPPX1-946 AMI refresh,1
2,R20.2.1, Sanity,Get the AuthZ service metadata,"When I call metadata data API
    Then Response status code should be 200
    And JSON response should have valid endpoints",No,Yes,Yes,WPPX1-949,AMI Refresh for RAW services,"Fix for WPPX1-946 AMI refresh
OpenId Metadata Discovery API changes",1
3,R20.2.1, Sanity,Get the public keys for validating token,"When I call GET Json web keys discovery API
      Then Response status should be 200 for GET json web keys discovery API
      And JSON Response should have valid data with public keys",No,Yes,Yes,WPPX1-949,AMI Refresh for RAW services,Fix for WPPX1-946 AMI refresh,1
4,R20.2.1,API/Functionality,Verify Client delegation API: Exchange Access token of different client with different scope,"  Given I have a valid access token generated from different client id
    When I call client delegation POST API with valid details
    Then Response status code should be 200 for client delegation POST API
    And Generated token with scopes same as of on boarded client must be valid JWT
    And Response body should have reduced scope mentioned in request payload",Yes,Yes,No,,,,1
5,R20.2.1, API/Functionality,Verify Client delegation API:Exchange Access token of different client with on boarded client scopes without any scope attribute in request payload,"Given I have a valid access token generated from different client id
    When I call client delegation POST API without scope attribute in request payload
    Then Response status code should be 200 for client delegation POST API
    And Generated token with scopes same as of on boarded client must be valid JWT
    And Response body should have scopes of on boarded client",,Yes,No,,,,1
6,R20.2.1, API/Functionality,Verify Client delegation API:Exchange Access token of different client with on boarded client scopes with empty scopes  in request payload,"Given I have a valid access token generated from different client id
    When I call client delegation POST API with empty scopes attribute in request payload
    Then Response status code should be 200 for client delegation POST API
    And Generated token with scopes same as of on boarded client must be valid JWT
    And Response body should have scopes of on boarded client",,Yes,No,,,,1
7,R20.2.1, API/Functionality,Verify Client delegation API : Verify client delegation API for invalid client,"Given I have a valid access token generated from different client id
    When I call client delegation POST API with invalid subject token type
    Then Response status code should be 400 for client delegation POST API
    And Response body should contains Unsupported subject token type error message for client delegation POST API",,Yes,No,,,,1
8,R20.2.1, API/Functionality,Verify Client delegation API : Verify client delegation API for invalid subject token type,"Given I have a valid access token generated from different client id
    When I call client delegation POST API with invalid grant type
    Then Response status code should be 400 for client delegation POST API
    And Response body should contains invalid grant type error message for client delegation POST API",,Yes,No,,,,1
9,R20.2.1, API/Functionality,Verify Client delegation API :Verify client delegation API for invalid grant type,"Given I have a valid access token generated from different client id
    When I call client delegation POST API with empty grant type
    Then Response status code should be 400 for client delegation POST API
    And Response body should contains invalid request error message for client delegation POST API",,Yes,No,,,,1
10,R20.2.1, API/Functionality,Verify Client delegation API : Verify client delegation API for invalid subject token,"When I call client delegation POST API with invalid subject token
    Then Response status code should be 400 for client delegation POST API
    And Response body should contains invalid token error message for client delegation POST API",,Yes,No,,,,1
11,R20.2.1, API/Functionality,Verify Token API for Client Credentials grant type : Generate token without Scopes in request payload,"Given I have a valid payload without Scopes to call POST API
    When I call generate tokens POST API with valid details
    Then Response status code should be 200 for token generation token POST API
    And Generated token should be valid JWT",Yes,Yes,No,,,,1
12,R20.2.1, API/Functionality,Verify Token API for Client Credentials grant type : Generate token with empty Scopes in request payload,"Given I have a valid payload with empty Scopes to call POST API
    When I call generate tokens POST API with valid details
    Then Response status code should be 200 for token generation token POST API
    And Generated token should be valid JWT",,Yes,No,,,,1
13,R20.2.1, API/Functionality,Verify Token API for Client Credentials grant type : Verify token API for invalid client,"Given I have a valid payload without Scopes to call POST API
    When I call generate tokens POST API with invalid client credentials
    Then Response status code should be 401 for token generation token POST API
    And Response body should contains Invalid Client error message",,Yes,No,,,,1
14,R20.2.1, API/Functionality,Verify Token API for Client Credentials grant type : Verify token API for invalid scopes,"Given I have a valid payload with invalid scopes to call POST API
    When I call generate tokens POST API with valid details
    Then Response status code should be 400 for token generation token POST API
    And Response body should contains Invalid Scope error message",,Yes,No,,,,1
15,R20.2.1, API/Functionality,Verify Token API for Client Credentials grant type : Verify token API for invalid grant type,"Given I have a valid payload with invalid grant type to call POST API
    When I call generate tokens POST API with valid details
    Then Response status code should be 400 for token generation token POST API
    And Response body should contains Invalid Grant type error message",,Yes,No,,,,1
16,R20.2.1, API/Functionality,Verify Token API for refresh token grant type : Generate access token with printer refresh token,"Given I have a valid printer refresh token to call Token API
    When I call token POST API with refresh token grant type and valid details
    Then Response status code should be 200 for refresh token POST API
    And Generated access token should be valid JWT",Yes,Yes,No,,,,1
17,R20.2.1, API/Functionality,Verify Token API for refresh token grant type : Verify refresh token API with token from different client,"Given I have a valid printer refresh token from different client to call Token API
    When I call token POST API with refresh token grant type and valid details
    Then Response status code should be 400 for refresh token POST API
    And Response body should have error message for client id does not match",,Yes,No,,,,1
18,R20.2.1, API/Functionality,Verify Token API for refresh token grant type : Verify refresh token API for invalid grant type,"Given I have a valid printer refresh token to call Token API
    When I call token POST API with refresh token and invalid grant type
    Then Response status code should be 400 for refresh token POST API
    And Response body should have error message for invalid grant type for refresh token API",,Yes,No,,,,1
19,R20.2.1, API/Functionality,Verify Token API for refresh token grant type : Verify refresh token API for missing grant type,"Given I have a valid printer refresh token to call Token API
    When I call token POST API with refresh token and missing grant type
    Then Response status code should be 400 for refresh token POST API
    And Response body should have error message for missing grant type for refresh token API",,Yes,No,,,,1
20,R20.2.1, API/Functionality,Verify Token API for refresh token grant type : Verify refresh token API with invalid client id,"Given I have a valid printer refresh token to call Token API
    When I call token POST API with refresh token and invalid client id
    Then Response status code should be 401 for refresh token POST API
    And Response body should have error message for invalid client id for refresh token API",,Yes,No,,,,1
21,R20.2.1, API/Functionality,Verify Token API for refresh token grant type : Verify refresh token API with invalid refresh token,"When I call token POST API with invalid refresh token
    Then Response status code should be 400 for refresh token POST API
    And Response body should have error message for invalid refresh token API",,Yes,No,,,,1
22,R20.2.1, API/Functionality,Generate authorization code for a device with valid auth,"Given I have valid payload to generate Auth Code
        When I call generate authorization code API with valid auth
        Then Response status code should be 200 for Auth Code POST API
        And Response should have valid data along with Auth Code",Yes,Yes,No,,,,1
