ID,Title,Automation Status,Created By,Created On,Expected Result,Forecast,Goals,Mission,PreConditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Expected Result),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On
C564439,Verify reprinting of QQ &WeChat info sheet after printer registration,No,Sravani Mollaka,4/25/2018 5:36,,,,," WEB services should be enabled on printer 

Note : Gen2 QQ model printer set language as  Simplified Chinese",Medium,,QQ & WeChat Registration,2,QQ & WeChat registration test cases.,Registration > GEN2 > QQ & WeChat Registration,,"1. Open printer EWS page in browser
Expected Result:
Printers Web Services page should open


2. Click on print info  
Expected Result:
Info sheet with QR Code and QQ flow , WeChat flow diagrams should print","1. Printers Web Services page should open


2. Info sheet with QR Code and QQ flow , WeChat flow diagrams should print","1. Open printer EWS page in browser
2. Click on print info",WPP RelQA Test Cases,S1082,Test Case (Steps),Functional,Sravani Mollaka,2/22/2019 4:22
C564458,Verify fallback info sheet print when QQ service is down,No,Sravani Mollaka,4/25/2018 7:03,,,,,"QQ supported model printer should be connected to a network and has a valid IP address
QQ supported model printer should be in CHINA region

QQ Services should be DOWN 
",Medium,,QQ & WeChat Registration,2,QQ & WeChat registration test cases.,Registration > GEN2 > QQ & WeChat Registration,,"1. TPS or ICS - Type the ip address of the printer in the browser.
IBS - Select the options web services setup and select Continue in the printer UI.
Expected Result:
TPS or ICS - EWS page for the printer should be displayed
IBS - The web services setup page should be displayed on the printer UI and after selecting Continue the product update message is displayed.

2. TPS or ICS- Click the ""HP Web Services"" tab in the EWS page
IBS - Click on Next button on the product update message.
Expected Result:
S or ICS - ""Web Services Setup"" page should be displayed
IBS - web services settings message should be displayed  

3. TPS or ICS - Click the ""Enable "" button
IBS : Click on OK button
Expected Result:
TPS or ICS - ""Web Services Enabled"" should be displayed in the EWS page
IBS : Web Services enabled successfully message should be displayed on printer front panel.

QQ FALL BACK info sheet should get printed","1. TPS or ICS - EWS page for the printer should be displayed
IBS - The web services setup page should be displayed on the printer UI and after selecting Continue the product update message is displayed.

2. S or ICS - ""Web Services Setup"" page should be displayed
IBS - web services settings message should be displayed  

3. TPS or ICS - ""Web Services Enabled"" should be displayed in the EWS page
IBS : Web Services enabled successfully message should be displayed on printer front panel.

QQ FALL BACK info sheet should get printed","1. TPS or ICS - Type the ip address of the printer in the browser.
IBS - Select the options web services setup and select Continue in the printer UI.
2. TPS or ICS- Click the ""HP Web Services"" tab in the EWS page
IBS - Click on Next button on the product update message.
3. TPS or ICS - Click the ""Enable "" button
IBS : Click on OK button",WPP RelQA Test Cases,S1082,Test Case (Steps),Functional,Vignesh Kumaresan,1/28/2019 12:49
C10975021,Verify printing of QQ and WeChat welcome page on QQ supported model printer in CHINA region,No,Sravani Mollaka,2/21/2019 9:35,,,,,"Printer should be connected with good network
Printer model should be QQ supported 
Set printer region as CHINA

For Gen2 printers: Region is CHINA , Language should be Simplified chinese ",Critical,,QQ & WeChat Registration,2,QQ & WeChat registration test cases.,Registration > GEN2 > QQ & WeChat Registration,,"1. Open printers EWS page in browser using printer IP 
Expected Result:
EWS page should display 
2. Click on  Continue in Web Services page
Expected Result:
Terms and conditions page should display 
3. Enable following two options and click on Next 

- I have read and accept the HP Connected Terms of Use and the HP Online Privacy Statement
- I want to install printer updates automatically and enable Web Services
Expected Result:
Enabling WebServices pop up menu should display with process and Web Services has been set up successfully message should display.

Important :  Info sheet should print with QR Code , QQ and WeChat flow diagrams","1. EWS page should display 
2. Terms and conditions page should display 
3. Enabling WebServices pop up menu should display with process and Web Services has been set up successfully message should display.

Important :  Info sheet should print with QR Code , QQ and WeChat flow diagrams","1. Open printers EWS page in browser using printer IP 
2. Click on  Continue in Web Services page
3. Enable following two options and click on Next 

- I have read and accept the HP Connected Terms of Use and the HP Online Privacy Statement
- I want to install printer updates automatically and enable Web Services",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Sravani Mollaka,2/21/2019 9:35
C10975023,"Verify printing of info sheet after changing CHINA region to USA,English region without de registering printer",No,Sravani Mollaka,2/21/2019 9:50,,,,,"Printer should be registered after setting printer region as CHINA and language as Simplified/Traditional Chinese

Note : In Gen2 QQ model printer QQ &WeChat  info sheet is printing when region is CHINA and language is Simplified Chinese",Medium,,QQ & WeChat Registration,2,QQ & WeChat registration test cases.,Registration > GEN2 > QQ & WeChat Registration,,"1. Open printers EWS page and click on Settings
Expected Result:
Printer Settings page should display

2. Click on Preferences and select International


Expected Result:
Language and region should display

Language is Simplified/Traditional Chinese and Region is CHINA
3. Change region from CHINA to other region (USA or UK or India etc.,)


Expected Result:
Region should change from CHINA to other region (USA or UK or India etc.,)



4. Print info sheet


Expected Result:
Region (USA or UK or India etc.,) based info sheet should print","1. Printer Settings page should display

2. Language and region should display

Language is Simplified/Traditional Chinese and Region is CHINA
3. Region should change from CHINA to other region (USA or UK or India etc.,)



4. Region (USA or UK or India etc.,) based info sheet should print","1. Open printers EWS page and click on Settings
2. Click on Preferences and select International


3. Change region from CHINA to other region (USA or UK or India etc.,)


4. Print info sheet",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Sravani Mollaka,2/22/2019 4:22
C10975024,"Verify printing of info sheet after changing USA ,Engish region to CHINA region without de registering printer",No,Sravani Mollaka,2/21/2019 9:51,,,,,Printer should be registered after setting printer region as USA and language as English,Low,,QQ & WeChat Registration,2,QQ & WeChat registration test cases.,Registration > GEN2 > QQ & WeChat Registration,,"1. Open printers EWS page and click on Settings

Expected Result:

Printer Settings page should display
2. Click on Preferences and select International


Expected Result:
Language and region should display

ex: Language is ENGLISH and Region is USA
3. Change language &region from ENGLISH & USA to CHINA,Simplified / traditional Chinese 

Note : Gen2 QQ model printer prints QQ&WeChat welcome page when language is set to Simplified Chinese 
Expected Result:
Language should change from ENGLISH & USA to CHINA,Simplified / traditional Chinese 


4. Print info sheet


Expected Result:
Info sheet with QR code & QQ flow , WeChat flow diagrams should print","1. 
Printer Settings page should display
2. Language and region should display

ex: Language is ENGLISH and Region is USA
3. Language should change from ENGLISH & USA to CHINA,Simplified / traditional Chinese 


4. Info sheet with QR code & QQ flow , WeChat flow diagrams should print","1. Open printers EWS page and click on Settings

2. Click on Preferences and select International


3. Change language &region from ENGLISH & USA to CHINA,Simplified / traditional Chinese 

Note : Gen2 QQ model printer prints QQ&WeChat welcome page when language is set to Simplified Chinese 
4. Print info sheet",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Sravani Mollaka,2/22/2019 4:28
C10549366,"Verify printing of Cloud Welcome Page when printer is registered to USA, English",No,Sravani Mollaka,1/28/2019 7:06,,,,,"Set Cloud welcome page supported model in printer .
Set Printer region as USA, Language as English.
Printer should be connected with good network. 


 ",Critical,,"Cloud Welcome Page- USA,English",2,"Cloud Welcome Page- USA,English test cases","Registration > GEN2 > Cloud Welcome Page- USA,English",,"1. From EWS Page :

Open printers EWS page using printer IP in browser and follow the steps to enable web services
Expected Result:
User should able to open the printers EWS page using IP.

Web Services should be enabled & Info sheet with QR code , Email address and printer code should print
2. From Printer FrontPanel:

Click on ePrint icon from printer front panel 
Expected Result:
Enable WebServices page should display
3. Click on Enable option
Expected Result:
Confirmation page should display

4. Click on Yes 
Expected Result:
Web Services should be enabled & Info sheet with QR code , Email address and printer code should print","1. User should able to open the printers EWS page using IP.

Web Services should be enabled & Info sheet with QR code , Email address and printer code should print
2. Enable WebServices page should display
3. Confirmation page should display

4. Web Services should be enabled & Info sheet with QR code , Email address and printer code should print","1. From EWS Page :

Open printers EWS page using printer IP in browser and follow the steps to enable web services
2. From Printer FrontPanel:

Click on ePrint icon from printer front panel 
3. Click on Enable option
4. Click on Yes",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Mohini Beura,2/27/2019 5:46
C10550461,Verify reprinting of info sheet on Cloud Welcome Page supported model printer after registration without claim in HPC,No,Sravani Mollaka,1/28/2019 11:05,,,,,"Set CWP model in printer
Set region as USA, Language as English in printer.
Printer should be registered successfully .",Critical,,"Cloud Welcome Page- USA,English",2,"Cloud Welcome Page- USA,English test cases","Registration > GEN2 > Cloud Welcome Page- USA,English",,"1. From EWS page :

Open printers EWS page in browser using printer IP 
Expected Result:
Web Services page should display
2. Click on Print Information page
Expected Result:
Printer Information page should display with Print info option 
3. Click on PrintInfo
Expected Result:
Info sheet or welcome page should print
4. From Printer Front Panel:
Click on eprint icon 
Expected Result:
Printers email address should display 
5. Click on print option from printer front panel
Expected Result:
Info sheet or welcome page should print with QR Code ,Email Adress","1. Web Services page should display
2. Printer Information page should display with Print info option 
3. Info sheet or welcome page should print
4. Printers email address should display 
5. Info sheet or welcome page should print with QR Code ,Email Adress","1. From EWS page :

Open printers EWS page in browser using printer IP 
2. Click on Print Information page
3. Click on PrintInfo
4. From Printer Front Panel:
Click on eprint icon 
5. Click on print option from printer front panel",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Mohini Beura,2/27/2019 5:46
C10752740,Verify printing supported files from mobile after adding printer as contact by scanning QR code,No,Sravani Mollaka,2/20/2019 10:08,,,,,"Printer should be connected to good n/w
Printer should be registered and info sheet should have QR code 
 ",High,,"Cloud Welcome Page- USA,English",2,"Cloud Welcome Page- USA,English test cases","Registration > GEN2 > Cloud Welcome Page- USA,English",,"1. Scan QR code from info sheet
Expected Result:
printer should get added to mobile and ask for rename 
2. Give new name for printer or Keep default printer name and save as contact
Expected Result:
Printer should be saved as contact
3. Click on printer email id in mobile contact and select client (gmail /yahoo etc.,) and attach file to print 
Expected Result:
File should be attached
4. Click on send after attaching test file 
Expected Result:
Attached File should print successfully","1. printer should get added to mobile and ask for rename 
2. Printer should be saved as contact
3. File should be attached
4. Attached File should print successfully","1. Scan QR code from info sheet
2. Give new name for printer or Keep default printer name and save as contact
3. Click on printer email id in mobile contact and select client (gmail /yahoo etc.,) and attach file to print 
4. Click on send after attaching test file",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Mohini Beura,2/27/2019 5:46
C10938347,Verify reprinting of info sheet on Cloud Welcome Page supported model printer after claim in HPC,No,Sravani Mollaka,2/21/2019 4:50,,,,,"Set CWP model In printer 
Set region as USA, Language as English in printer.
Printer should be registered successfully .",Medium,,"Cloud Welcome Page- USA,English",2,"Cloud Welcome Page- USA,English test cases","Registration > GEN2 > Cloud Welcome Page- USA,English",,"1. Claim printer in HPC 
Expected Result:
printer should be claimed in HPC
2. From EWS page :

Open printers EWS page in browser using printer IP
Expected Result:
Web Services page should display
3. Click on Print Information page
Expected Result:
Printer Information page should display with Print info option

4. Click on PrintInfo
Expected Result:
Info sheet or welcome page should print with Email ID , Printer Code and QR code

Note : if user has set FEA after printer claim in HPC  , FEA should print on info sheet
5. From Printer Front Panel:
Click on eprint icon

Expected Result:
Printers email address should display
6. Click on print option from printer front panel
Expected Result:
Info sheet or welcome page should print with Email ID , Printer Code and QR code

Note : if user has set FEA after printer claim in HPC  , FEA should print on info sheet","1. printer should be claimed in HPC
2. Web Services page should display
3. Printer Information page should display with Print info option

4. Info sheet or welcome page should print with Email ID , Printer Code and QR code

Note : if user has set FEA after printer claim in HPC  , FEA should print on info sheet
5. Printers email address should display
6. Info sheet or welcome page should print with Email ID , Printer Code and QR code

Note : if user has set FEA after printer claim in HPC  , FEA should print on info sheet","1. Claim printer in HPC 
2. From EWS page :

Open printers EWS page in browser using printer IP
3. Click on Print Information page
4. Click on PrintInfo
5. From Printer Front Panel:
Click on eprint icon

6. Click on print option from printer front panel",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Mohini Beura,2/27/2019 5:46
C10945688,Verify printing of info sheet on Instant INK printer for supported model,No,Sravani Mollaka,2/21/2019 6:36,,,,,"Printer should be connected with good network.
Set Cloud welcome page supported model in printer .
Set Printer (Instant INK Supported model) region as USA, Language as English.
",Medium,,"Cloud Welcome Page- USA,English",2,"Cloud Welcome Page- USA,English test cases","Registration > GEN2 > Cloud Welcome Page- USA,English",,"1. From EWS Page :

Open printers EWS page using printer IP in browser and follow the steps to enable web services


Expected Result:
User should able to open the printers EWS page using IP.

Web Services should be enabled & Info sheet with QR code , Email address and printer code should print
2. From Printer Front Panel:

Click on ePrint icon from printer front panel


Expected Result:
Enable Web Services page should display
3. Click on Enable option
Expected Result:
Confirmation page should display
4. Click on Yes
Expected Result:
Web Services should be enabled & Info sheet with QR code , Email address and printer code should print","1. User should able to open the printers EWS page using IP.

Web Services should be enabled & Info sheet with QR code , Email address and printer code should print
2. Enable Web Services page should display
3. Confirmation page should display
4. Web Services should be enabled & Info sheet with QR code , Email address and printer code should print","1. From EWS Page :

Open printers EWS page using printer IP in browser and follow the steps to enable web services


2. From Printer Front Panel:

Click on ePrint icon from printer front panel


3. Click on Enable option
4. Click on Yes",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Mohini Beura,2/27/2019 5:46
